iter	Passed	Remaining
1342	322559	43712
1343	322801	43472
1344	323039	43232
1345	323269	42990
1346	323490	42747
1347	323762	42511
1348	323985	42269
1349	324234	42030
1350	324476	41790
1351	324730	41552
1352	324979	41313
1353	325216	41072
1354	325453	40831
1355	325670	40588
1356	325880	40344
1357	326137	40106
1358	326370	39865
1359	326603	39624
1360	326842	39384
1361	327075	39143
1362	327316	38903
1363	327544	38661
1364	327788	38422
1365	328004	38179
1366	328252	37939
1367	328494	37700
1368	328725	37458
1369	328970	37219
1370	329214	36979
1371	329475	36741
1372	329708	36500
1373	329921	36257
1374	330163	36017
1375	330395	35776
1376	330658	35539
1377	330888	35297
1378	331144	35059
1379	331403	34821
1380	331653	34582
1381	331869	34339
1382	332125	34101
1383	332384	33862
1384	332630	33623
1385	332872	33383
1386	333137	33145
1387	333372	32904
1388	333615	32664
1389	333850	32424
1390	334096	32184
1391	334315	31942
1392	334592	31705
1393	334847	31467
1394	335076	31225
1395	335309	30984
1396	335538	30743
1397	335792	30504
1398	336034	30264
1399	336271	30024
1400	336514	29784
1401	336745	29543
1402	336969	29301
1403	337196	29060
1404	337436	28820
1405	337700	28582
1406	337939	28341
1407	338198	28103
1408	338428	27862
1409	338639	27619
1410	338862	27377
1411	339099	27137
1412	339345	26897
1413	339572	26656
1414	339814	26416
1415	340067	26177
1416	340296	25936
1417	340539	25696
1418	340786	25456
1419	341021	25216
1420	341248	24975
1421	341484	24734
1422	341720	24494
1423	341961	24254
1424	342211	24014
1425	342458	23775
1426	342728	23537
1427	342961	23296
1428	343212	23056
1429	343449	22816
1430	343691	22576
1431	343935	22336
1432	344182	22096
1433	344433	21857
1434	344674	21617
1435	344926	21377
1436	345158	21137
1437	345397	20896
1438	345627	20655
1439	345874	20416
1440	346122	20176
1441	346379	19937
1442	346630	19697
1443	346889	19458
1444	347118	19217
1445	347369	18977
1446	347613	18737
1447	347845	18497
1448	348076	18256
1449	348306	18015
1450	348529	17774
1451	348740	17533
1452	349002	17293
1453	349242	17053
1454	349478	16813
1455	349682	16571
1456	349898	16330
1457	350151	16090
1458	350404	15851
1459	350628	15610
1460	350876	15370
1461	351142	15131
1462	351389	14891
1463	351612	14650
1464	351853	14410
1465	352083	14169
1466	352304	13928
1467	352515	13687
1468	352739	13446
1469	352959	13205
1470	353202	12965
1471	353433	12725
1472	353675	12485
1473	353892	12244
1474	354126	12004
1475	354354	11763
1476	354592	11523
1477	354838	11283
1478	355090	11044
1479	355317	10803
1480	355550	10563
1481	355788	10323
1482	356029	10083
1483	356267	9842
1484	356494	9602
1485	356754	9362
1486	356976	9122
1487	357231	8882
1488	357486	8643
1489	357703	8402
1490	357946	8162
1491	358177	7922
1492	358444	7682
1493	358692	7442
1494	358930	7202
1495	359158	6962
1496	359393	6722
1497	359660	6482
1498	359899	6242
1499	360131	6002
1500	360371	5762
1501	360625	5522
1502	360842	5281
1503	361048	5041
1504	361276	4801
1505	361503	4560
1506	361760	4320
1507	362008	4080
1508	362275	3841
1509	362531	3601
1510	362765	3361
1511	362999	3121
1512	363272	2881
1513	363485	2640
1514	363714	2400
1515	363934	2160
1516	364182	1920
1517	364408	1680
1518	364642	1440
1519	364890	1200
1520	365110	960
1521	365366	720
1522	365591	480
1523	365842	240
1524	366071	0
